#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-9.99,2,0.895236
-10.0,1,0.895811
-10.0,1,0.896385
-10.0,1,0.896863
-10.0,1,0.89735
-10.0,1,0.897801
-10.0,1,0.898242
-10.0,1,0.89867
-10.0,1,0.899118
-10.0,1,0.899571
-10.0,1,0.900023
-10.0,1,0.900448
-10.0,1,0.900886
-10.0,1,0.901322
-10.0,1,0.901779
-10.0,1,0.902213
-10.0,1,0.902653
-10.0,1,0.903093
-10.0,1,0.903528
-10.0,1,0.903967
-10.0,1,0.904411
-10.0,1,0.904851
-10.0,1,0.905443
-10.0,1,0.90604
-9.98,3,0.907372
-10.0,1,0.907811
-10.0,1,0.908237
-10.0,1,0.908681
-10.0,1,0.909122
-10.0,1,0.909573
-10.0,1,0.910017
-10.0,1,0.910455
-10.0,1,0.910901
-10.0,1,0.911356
-10.0,1,0.911795
-10.0,1,0.912228
-10.0,1,0.912668
-10.0,1,0.913099
-10.0,1,0.913529
-10.0,1,0.913959
-10.0,1,0.914391
-10.0,1,0.914831
-10.0,1,0.915629
-9.99,2,0.916681
-10.0,1,0.917194
-10.0,1,0.917674
-10.0,1,0.918135
-10.0,1,0.918588
-10.0,1,0.919037
-10.0,1,0.919484
-9.99,2,0.920367
-10.0,1,0.920834
-10.0,1,0.921344
-10.0,1,0.921823
-10.0,1,0.92237
-10.0,1,0.922836
-10.0,1,0.923302
-10.0,1,0.923754
-10.0,1,0.924203
-10.0,1,0.924659
-10.0,1,0.925136
-9.99,2,0.926276
-10.0,1,0.926778
-10.0,1,0.927217
-10.0,1,0.927654
-10.0,1,0.928096
-10.0,1,0.928529
-10.0,1,0.928955
-10.0,1,0.929388
-10.0,1,0.929847
-10.0,1,0.930273
-10.0,1,0.930711
-10.0,1,0.931149
-10.0,1,2.432322
-10.0,1,2.432993
-10.0,1,2.433509
-10.0,1,2.433992
-10.0,1,2.434469
-10.0,1,2.434938
-10.0,1,2.435421
-10.0,1,2.43587
-10.0,1,2.436324
-10.0,1,2.436774
-10.0,1,2.437219
-10.0,1,2.437662
-10.0,1,2.438109
-10.0,1,2.438732
-10.0,1,2.439293
-10.0,1,2.439809
-10.0,1,2.440319
-10.0,1,2.440833
-10.0,1,2.441314
-10.0,1,2.441784
-10.0,1,2.442241
-10.0,1,2.442704
-10.0,1,2.443207
-10.0,1,2.443672
-10.0,1,2.44414
-10.0,1,2.4446
-10.0,1,2.445075
-10.0,1,2.445526
-10.0,1,2.446107
-9.99,2,2.447243
-9.99,2,2.448165
-10.0,1,2.448636
-10.0,1,2.449101
-10.0,1,2.449557
-10.0,1,2.450055
-9.99,2,2.450952
-10.0,1,2.451406
-10.0,1,2.451849
-9.99,2,2.452717
-9.99,2,2.453963
-10.0,1,2.454567
-9.99,2,2.455464
-10.0,1,2.455915
-10.0,1,2.45637
-10.0,1,2.456825
-10.0,1,2.457268
-10.0,1,2.457718
-10.0,1,2.458174
-9.99,2,2.459047
-10.0,1,2.459518
-10.0,1,2.459959
-10.0,1,2.460397
-10.0,1,2.460835
-9.99,2,2.461712
-10.0,1,2.46215
-10.0,1,2.46259
-10.0,1,2.463208
-10.0,1,2.463812
-10.0,1,2.464356
-10.0,1,2.464859
-10.0,1,2.465321
-9.99,2,2.466416
-10.0,1,2.466963
-9.99,2,2.468037
-10.0,1,2.468492
-10.0,1,2.468939
-10.0,1,2.469408
-10.0,1,2.469866
-9.99,2,2.470725
-10.0,1,2.471168
-10.0,1,2.471686
-10.0,1,2.472169
-10.0,1,2.472692
-10.0,1,2.473154
-10.0,1,2.473614
-9.99,2,2.474534
-10.0,1,2.474983
-10.0,1,2.475442
-10.0,1,2.475886
-10.0,1,2.476371
-10.0,1,2.47685
-9.99,2,2.477771
