#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.934483
-10.0,1,0.934921
-10.0,1,0.935355
-10.0,1,0.93579
-10.0,1,0.936223
-10.0,1,0.936653
-10.0,1,0.937084
-10.0,1,0.937515
-10.0,1,0.937945
-10.0,1,0.938391
-9.99,2,0.939236
-10.0,1,0.939673
-10.0,1,0.940111
-10.0,1,0.940542
-10.0,1,0.940974
-10.0,1,0.941403
-10.0,1,0.942178
-10.0,1,0.942786
-10.0,1,0.943349
-10.0,1,0.943853
-10.0,1,0.944344
-10.0,1,0.944874
-10.0,1,0.945317
-10.0,1,0.945768
-10.0,1,0.946221
-10.0,1,0.946656
-10.0,1,0.947106
-10.0,1,0.947543
-10.0,1,0.947996
-10.0,1,0.948429
-10.0,1,0.94886
-10.0,1,0.949285
-10.0,1,0.949718
-10.0,1,0.950151
-10.0,1,0.950582
-10.0,1,0.951011
-10.0,1,0.951441
-10.0,1,0.952233
-10.0,1,0.952862
-10.0,1,0.953384
-10.0,1,0.953894
-10.0,1,0.954388
-10.0,1,0.954853
-10.0,1,0.955323
-10.0,1,0.955794
-10.0,1,0.956267
-10.0,1,0.956765
-10.0,1,0.957364
-10.0,1,0.957848
-10.0,1,0.958271
-10.0,1,0.958703
-9.99,2,0.959549
-9.99,2,0.960392
-10.0,1,0.960826
-10.0,1,0.961261
-10.0,1,0.961819
-10.0,1,0.962528
-10.0,1,0.963079
-10.0,1,0.963715
-10.0,1,0.964198
-10.0,1,0.964633
-9.99,2,0.965477
-9.99,2,0.966319
-10.0,1,0.966752
-9.99,2,0.967607
-10.0,1,0.968042
-10.0,1,0.968475
-10.0,1,0.968906
-10.0,1,0.969335
-10.0,1,0.969766
-10.0,1,0.970196
-9.99,2,0.971032
-10.0,1,0.971481
-10.0,1,0.972183
-10.0,1,0.972767
-10.0,1,0.973282
-9.99,2,0.974279
-10.0,1,0.974783
-10.0,1,0.975382
-10.0,1,0.975933
-10.0,1,0.976466
-10.0,1,0.977
-10.0,1,0.977516
-10.0,1,0.97808
-9.99,2,0.979178
-10.0,1,0.979733
-9.99,2,0.980764
-10.0,1,0.981312
-10.0,1,0.981818
-10.0,1,0.982335
-10.0,1,0.982834
-9.99,2,0.983787
-10.0,1,0.984261
-10.0,1,0.984741
-10.0,1,0.985213
-10.0,1,0.98568
-10.0,1,0.986276
-10.0,1,0.986771
-10.0,1,0.987248
-10.0,1,0.987707
-10.0,1,0.988167
-10.0,1,0.988594
-10.0,1,0.989031
-10.0,1,0.989462
-10.0,1,0.989893
-9.99,2,0.990739
-10.0,1,0.991173
-10.0,1,0.99162
-10.0,1,0.992053
-10.0,1,0.992484
-10.0,1,0.992908
-10.0,1,0.993345
-10.0,1,0.993775
-10.0,1,0.994207
-10.0,1,0.994641
-10.0,1,0.995064
-10.0,1,0.995493
-10.0,1,0.996213
-10.0,1,0.996866
-10.0,1,0.997403
-10.0,1,0.997907
-10.0,1,0.998398
-10.0,1,0.99904
-10.0,1,0.999571
-10.0,1,1.000059
-10.0,1,1.00053
-10.0,1,1.000978
-10.0,1,1.001442
-10.0,1,1.001888
-10.0,1,1.002331
-10.0,1,1.002771
-10.0,1,1.003211
-10.0,1,1.003651
-10.0,1,1.004091
-10.0,1,1.004526
-10.0,1,1.004964
-10.0,1,1.005399
-10.0,1,1.005967
-10.0,1,1.006667
-10.0,1,1.007161
-10.0,1,1.00762
-10.0,1,1.008072
-10.0,1,1.008509
-10.0,1,1.008947
-10.0,1,1.009381
-10.0,1,1.009814
-10.0,1,1.010246
-10.0,1,1.010696
-10.0,1,1.011127
-10.0,1,1.011569
-10.0,1,1.012002
-10.0,1,1.012432
-10.0,1,1.012864
-10.0,1,1.013298
-10.0,1,1.013738
-10.0,1,1.014169
-9.99,2,1.015031
-10.0,1,1.015468
-10.0,1,1.016057
-10.0,1,1.016801
-9.99,2,1.017849
-10.0,1,1.018319
-10.0,1,1.018816
-10.0,1,1.019299
-10.0,1,1.019914
-10.0,1,1.020521
-10.0,1,1.021073
-10.0,1,1.021552
-10.0,1,1.021985
-10.0,1,1.022422
-10.0,1,1.022852
-10.0,1,1.023285
-10.0,1,1.023718
-10.0,1,1.024151
-10.0,1,1.024583
-10.0,1,1.025032
-10.0,1,1.025465
-10.0,1,1.026026
-10.0,1,1.02681
-9.99,2,1.027782
-10.0,1,1.028233
-10.0,1,1.028672
-10.0,1,1.029105
-9.99,2,1.029963
-10.0,1,1.030398
